,Town,Year,pop_5_yrs_and_over,County,Race,Pop
1,DeerPark,2017,27653,Suffolk,African_American,3780
2,DeerPark,2016,27223,Suffolk,African_American,3745
3,DeerPark,2015,27346,Suffolk,African_American,3437
4,DeerPark,2014,27290,Suffolk,African_American,3462
5,DeerPark,2013,27482,Suffolk,African_American,3805
6,DeerPark,2012,27770,Suffolk,African_American,3156
7,DeerPark,2011,27492,Suffolk,African_American,3740
8,DeerPark,2010,28292,Suffolk,African_American,3740
9,NorthAmityville,2017,19774,Suffolk,African_American,10993
10,NorthAmityville,2016,20150,Suffolk,African_American,10852
11,NorthAmityville,2015,19895,Suffolk,African_American,10744
12,NorthAmityville,2014,19608,Suffolk,African_American,10981
13,NorthAmityville,2013,19502,Suffolk,African_American,10571
14,NorthAmityville,2012,18400,Suffolk,African_American,11132
15,NorthAmityville,2011,18675,Suffolk,African_American,12071
16,NorthAmityville,2010,17814,Suffolk,African_American,11855
17,NorthBabylon,2017,19774,Suffolk,African_American,1447
18,NorthBabylon,2016,20150,Suffolk,African_American,1396
19,NorthBabylon,2015,19895,Suffolk,African_American,1408
20,NorthBabylon,2014,19608,Suffolk,African_American,1230
21,NorthBabylon,2013,19502,Suffolk,African_American,1238
22,NorthBabylon,2012,18400,Suffolk,African_American,1132
23,NorthBabylon,2011,18675,Suffolk,African_American,1087
24,NorthBabylon,2010,17814,Suffolk,African_American,1071
25,WestBabylon,2017,43168,Suffolk,African_American,4779
26,WestBabylon,2016,43359,Suffolk,African_American,4125
27,WestBabylon,2015,42664,Suffolk,African_American,4464
28,WestBabylon,2014,43725,Suffolk,African_American,4564
29,WestBabylon,2013,43496,Suffolk,African_American,4722
30,WestBabylon,2012,44175,Suffolk,African_American,5076
31,WestBabylon,2011,43754,Suffolk,African_American,4769
32,WestBabylon,2010,44552,Suffolk,African_American,4631
33,WheatleyHeights,2017,5038,Suffolk,African_American,2561
34,WheatleyHeights,2016,5076,Suffolk,African_American,2685
35,WheatleyHeights,2015,5220,Suffolk,African_American,3245
36,WheatleyHeights,2014,5211,Suffolk,African_American,3256
37,WheatleyHeights,2013,5356,Suffolk,African_American,3368
38,WheatleyHeights,2012,5238,Suffolk,African_American,3092
39,WheatleyHeights,2011,5523,Suffolk,African_American,3300
40,WheatleyHeights,2010,6195,Suffolk,African_American,3529
41,Wyandanch,2017,11315,Suffolk,African_American,6728
42,Wyandanch,2016,10722,Suffolk,African_American,6554
43,Wyandanch,2015,11558,Suffolk,African_American,7453
44,Wyandanch,2014,11187,Suffolk,African_American,7549
45,Wyandanch,2013,10608,Suffolk,African_American,7433
46,Wyandanch,2012,11047,Suffolk,African_American,7709
47,Wyandanch,2011,11265,Suffolk,African_American,7642
48,Wyandanch,2010,10931,Suffolk,African_American,7389
49,DeerPark,2017,27653,Suffolk,Asian,2259
50,DeerPark,2016,27223,Suffolk,Asian,2002
51,DeerPark,2015,27346,Suffolk,Asian,2026
52,DeerPark,2014,27290,Suffolk,Asian,2190
53,DeerPark,2013,27482,Suffolk,Asian,2503
54,DeerPark,2012,27770,Suffolk,Asian,1972
55,DeerPark,2011,27492,Suffolk,Asian,1897
56,DeerPark,2010,28292,Suffolk,Asian,1864
57,NorthAmityville,2017,19774,Suffolk,Asian,369
58,NorthAmityville,2016,20150,Suffolk,Asian,538
59,NorthAmityville,2015,19895,Suffolk,Asian,490
60,NorthAmityville,2014,19608,Suffolk,Asian,387
61,NorthAmityville,2013,19502,Suffolk,Asian,132
62,NorthAmityville,2012,18400,Suffolk,Asian,115
63,NorthAmityville,2011,18675,Suffolk,Asian,114
64,NorthAmityville,2010,17814,Suffolk,Asian,80
65,NorthBabylon,2017,19774,Suffolk,Asian,369
66,NorthBabylon,2016,20150,Suffolk,Asian,538
67,NorthBabylon,2015,19895,Suffolk,Asian,490
68,NorthBabylon,2014,19608,Suffolk,Asian,387
69,NorthBabylon,2013,19502,Suffolk,Asian,132
70,NorthBabylon,2012,18400,Suffolk,Asian,115
71,NorthBabylon,2011,18675,Suffolk,Asian,114
72,NorthBabylon,2010,17814,Suffolk,Asian,80
73,WestBabylon,2017,43168,Suffolk,Asian,1527
74,WestBabylon,2016,43359,Suffolk,Asian,1360
75,WestBabylon,2015,42664,Suffolk,Asian,1106
76,WestBabylon,2014,43725,Suffolk,Asian,1024
77,WestBabylon,2013,43496,Suffolk,Asian,758
78,WestBabylon,2012,44175,Suffolk,Asian,1064
79,WestBabylon,2011,43754,Suffolk,Asian,980
80,WestBabylon,2010,44552,Suffolk,Asian,1037
81,WheatleyHeights,2017,5038,Suffolk,Asian,522
82,WheatleyHeights,2016,5076,Suffolk,Asian,677
83,WheatleyHeights,2015,5220,Suffolk,Asian,349
84,WheatleyHeights,2014,5211,Suffolk,Asian,288
85,WheatleyHeights,2013,5356,Suffolk,Asian,251
86,WheatleyHeights,2012,5238,Suffolk,Asian,314
87,WheatleyHeights,2011,5523,Suffolk,Asian,230
88,WheatleyHeights,2010,6195,Suffolk,Asian,426
89,Wyandanch,2017,11315,Suffolk,Asian,60
90,Wyandanch,2016,10722,Suffolk,Asian,64
91,Wyandanch,2015,11558,Suffolk,Asian,51
92,Wyandanch,2014,11187,Suffolk,Asian,31
93,Wyandanch,2013,10608,Suffolk,Asian,35
94,Wyandanch,2012,11047,Suffolk,Asian,1
95,Wyandanch,2011,11265,Suffolk,Asian,0
96,Wyandanch,2010,10931,Suffolk,Asian,0
97,DeerPark,2017,27653,Suffolk,Latino,2792
98,DeerPark,2016,27223,Suffolk,Latino,2615
99,DeerPark,2015,27346,Suffolk,Latino,2736
100,DeerPark,2014,27290,Suffolk,Latino,2044
101,DeerPark,2013,27482,Suffolk,Latino,1813
102,DeerPark,2012,27770,Suffolk,Latino,2332
103,DeerPark,2011,27492,Suffolk,Latino,2198
104,DeerPark,2010,28292,Suffolk,Latino,1923
105,NorthAmityville,2017,19774,Suffolk,Latino,5413
106,NorthAmityville,2016,20150,Suffolk,Latino,5421
107,NorthAmityville,2015,19895,Suffolk,Latino,5366
108,NorthAmityville,2014,19608,Suffolk,Latino,5344
109,NorthAmityville,2013,19502,Suffolk,Latino,5772
110,NorthAmityville,2012,18400,Suffolk,Latino,4825
111,NorthAmityville,2011,18675,Suffolk,Latino,4105
112,NorthAmityville,2010,17814,Suffolk,Latino,3724
113,NorthBabylon,2017,19774,Suffolk,Latino,5413
114,NorthBabylon,2016,20150,Suffolk,Latino,5424
115,NorthBabylon,2015,19895,Suffolk,Latino,5366
116,NorthBabylon,2014,19608,Suffolk,Latino,5344
117,NorthBabylon,2013,19502,Suffolk,Latino,5772
118,NorthBabylon,2012,18400,Suffolk,Latino,4825
119,NorthBabylon,2011,18675,Suffolk,Latino,4105
120,NorthBabylon,2010,17814,Suffolk,Latino,3724
121,WestBabylon,2017,43168,Suffolk,Latino,5413
122,WestBabylon,2016,43359,Suffolk,Latino,5424
123,WestBabylon,2015,42664,Suffolk,Latino,5366
124,WestBabylon,2014,43725,Suffolk,Latino,5344
125,WestBabylon,2013,43496,Suffolk,Latino,5772
126,WestBabylon,2012,44175,Suffolk,Latino,4882
127,WestBabylon,2011,43754,Suffolk,Latino,4105
128,WestBabylon,2010,44552,Suffolk,Latino,3724
129,WheatleyHeights,2017,5038,Suffolk,Latino,544
130,WheatleyHeights,2016,5076,Suffolk,Latino,421
131,WheatleyHeights,2015,5220,Suffolk,Latino,387
132,WheatleyHeights,2014,5211,Suffolk,Latino,412
133,WheatleyHeights,2013,5356,Suffolk,Latino,438
134,WheatleyHeights,2012,5238,Suffolk,Latino,347
135,WheatleyHeights,2011,5523,Suffolk,Latino,276
136,WheatleyHeights,2010,6195,Suffolk,Latino,662
137,Wyandanch,2017,11315,Suffolk,Latino,3013
138,Wyandanch,2016,10722,Suffolk,Latino,2609
139,Wyandanch,2015,11558,Suffolk,Latino,2764
140,Wyandanch,2014,11187,Suffolk,Latino,2468
141,Wyandanch,2013,10608,Suffolk,Latino,1928
142,Wyandanch,2012,11047,Suffolk,Latino,2040
143,Wyandanch,2011,11265,Suffolk,Latino,2241
144,Wyandanch,2010,10931,Suffolk,Latino,2102
145,DeerPark,2017,27653,Suffolk,Americn_.Indian,11
146,DeerPark,2016,27223,Suffolk,Americn_.Indian,0
147,DeerPark,2015,27346,Suffolk,Americn_.Indian,0
148,DeerPark,2014,27290,Suffolk,Americn_.Indian,0
149,DeerPark,2013,27482,Suffolk,Americn_.Indian,0
150,DeerPark,2012,27770,Suffolk,Americn_.Indian,0
151,DeerPark,2011,27492,Suffolk,Americn_.Indian,0
152,DeerPark,2010,28292,Suffolk,Americn_.Indian,0
153,NorthAmityville,2017,19774,Suffolk,Americn_.Indian,0
154,NorthAmityville,2016,20150,Suffolk,Americn_.Indian,64
155,NorthAmityville,2015,19895,Suffolk,Americn_.Indian,79
156,NorthAmityville,2014,19608,Suffolk,Americn_.Indian,62
